	10	11	11A	11B	12	12A	12B	14A	14B	15	15A	15B	16	17	17A	17B	18	18A	18B	20A	20B	21	21A	21B	22	23	23A	23B	24	24A	24B	27	28	29	2A	2B	3	30	33	34	35	36	39	3A	3B	4	40	41	42	45	46	47	48	5	51	52	53	54	57	58	59	5A	5B	6	60	6A	6B	8A	8B	9	9A	9B
10	0	0.508719801902771	0.5143030285835266	0.5311464071273804	0.5094478726387024	0.4762612581253052	0.5199998021125793	0.513568103313446	0.5243294239044189	0.4472652971744537	0.5072866082191467	0.5436165332794189	0.5296467542648315	0.4958503246307373	0.5073780417442322	0.5444577932357788	0.523006796836853	0.5339731574058533	0.424246221780777	0.5191672444343567	0.5085700154304504	0.4810841679573059	0.4884906113147736	0.5305298566818237	0.4664077162742615	0.5134731531143188	0.4986439943313599	0.4839527308940887	0.4990980625152588	0.5278049111366272	0.4800420999526978	0.5248631238937378	0.5147120952606201	0.5328489542007446	0.5579633116722107	0.5459871292114258	0.5389434099197388	0.5694292783737183	0.5560814142227173	0.4919687211513519	0.4873065948486328	0.5081247687339783	0.5267823934555054	0.4861235022544861	0.4942809343338013	0.5375982522964478	0.5168762803077698	0.5868305563926697	0.5063037872314453	0.5012900233268738	0.4820262789726257	0.5548301935195923	0.5302735567092896	0.5610678195953369	0.4769438207149506	0.4744494557380676	0.5097615122795105	0.538932740688324	0.5124889612197876	0.4978857636451721	0.4465274214744568	0.4960190951824188	0.5461292266845703	0.5174752473831177	0.5531136393547058	0.5017626285552979	0.5379905104637146	0.5289033651351929	0.4950140714645386	0.5207382440567017	0.5682045221328735	0.5187251567840576
11	0.508719801902771	0	0.418537437915802	0.3826804757118225	0.383217066526413	0.4484416544437408	0.4229121804237366	0.4045164883136749	0.4150436818599701	0.4248446524143219	0.4584842324256897	0.4189005196094513	0.449015349149704	0.4563930630683899	0.4148320555686951	0.4236917197704315	0.3935590982437134	0.3789376020431519	0.4776987135410309	0.4160345494747162	0.4881625473499298	0.5129896402359009	0.5075271725654602	0.5562356114387512	0.4556276500225067	0.4389661848545074	0.42839714884758	0.4816311895847321	0.4319795370101929	0.4695936441421509	0.5079780220985413	0.5257580876350403	0.5512111783027649	0.4236066937446594	0.4265353083610535	0.3987731635570526	0.412522166967392	0.454747200012207	0.3890447914600372	0.4659967124462128	0.466119259595871	0.5061188936233521	0.4755230247974396	0.4876357316970825	0.4655609726905823	0.459047794342041	0.4106317460536957	0.4567212760448456	0.3863303363323212	0.4901174306869507	0.4378682374954224	0.4374134540557861	0.4025230407714844	0.4357001185417175	0.5126031637191772	0.5358946919441223	0.458579421043396	0.4002527594566345	0.4621327221393585	0.4820688962936401	0.4929816126823425	0.4449461102485657	0.4369249045848846	0.4180776178836823	0.4423255622386932	0.408625066280365	0.4815108478069305	0.4324672222137451	0.4519156217575073	0.4350190460681915	0.4138621985912323	0.4360401034355164
11A	0.5143030285835266	0.418537437915802	0	0.3726003170013428	0.450579047203064	0.4086147248744965	0.3972831964492798	0.4614206552505493	0.4276605844497681	0.4460133910179138	0.4383403956890106	0.4423556923866272	0.5178217887878418	0.4815395474433899	0.4515295326709747	0.4541144967079163	0.4355033040046692	0.4415487945079803	0.4597005248069763	0.4402090609073639	0.4963752329349518	0.5497778058052063	0.4920939803123474	0.5596217513084412	0.4872088730335236	0.487497866153717	0.4256057441234589	0.4872356057167053	0.4769596457481384	0.4561770558357239	0.5228325128555298	0.498517245054245	0.546059250831604	0.4651317596435547	0.4731217622756958	0.4348625838756561	0.4241607487201691	0.4723529517650604	0.4015089273452759	0.430794358253479	0.5058568716049194	0.5124073624610901	0.4521870017051697	0.4974760413169861	0.4683081805706024	0.4932706654071808	0.4183278977870941	0.4946396946907043	0.4300460517406464	0.4956215918064117	0.4467604756355286	0.4768760204315186	0.4553749859333038	0.5033363103866577	0.505041778087616	0.5473389625549316	0.4591143429279327	0.4522970914840698	0.4507655799388885	0.4388858079910278	0.4922091066837311	0.4296122491359711	0.469562441110611	0.4555638432502747	0.4673371016979218	0.4091572165489197	0.5036417841911316	0.4494771957397461	0.4445958137512207	0.4581194221973419	0.4587600827217102	0.4283620715141296
11B	0.5311464071273804	0.3826804757118225	0.3726003170013428	0	0.4029687345027924	0.3937784433364868	0.3816011548042297	0.3842485845088959	0.3656477034091949	0.426827073097229	0.4286430776119232	0.4148982465267181	0.4805069267749786	0.4786127805709839	0.4162010550498962	0.4261505901813507	0.4333980679512024	0.4088350534439087	0.45211061835289	0.4123625159263611	0.4656572639942169	0.5541534423828125	0.4861933290958405	0.554016649723053	0.474463164806366	0.4557214081287384	0.4448236227035522	0.5085003972053528	0.4857645332813263	0.4304146468639374	0.5154774188995361	0.4979031383991241	0.5418703556060791	0.4241001904010773	0.4372790157794952	0.3784870505332947	0.3831854164600372	0.4518695473670959	0.3776865899562836	0.4372850954532623	0.4961831569671631	0.5078542828559875	0.4373537600040436	0.4910276830196381	0.418641597032547	0.4950085580348969	0.4070581495761871	0.4349043965339661	0.4221706092357635	0.4770787954330444	0.4405508041381836	0.4116372168064117	0.4178700149059296	0.4520544409751892	0.5040541887283325	0.5204651951789856	0.460779070854187	0.3802777826786041	0.4098166525363922	0.4736898839473724	0.4674416482448578	0.4446671307086945	0.4093941748142242	0.4279546439647675	0.4336883425712585	0.4193603992462158	0.4781053364276886	0.4188221096992493	0.4344179630279541	0.4411455988883972	0.4255216419696808	0.4188662469387054
12	0.5094478726387024	0.383217066526413	0.450579047203064	0.4029687345027924	0	0.4252930581569672	0.4363810420036316	0.4110703468322754	0.4221892356872559	0.4310275018215179	0.4654113948345184	0.4562376141548157	0.4784066677093506	0.5075533390045166	0.4732337594032288	0.4339476227760315	0.4710963368415833	0.4301033318042755	0.465298980474472	0.4640740752220154	0.5252165198326111	0.5502120852470398	0.5042222738265991	0.5646184682846069	0.4925355613231659	0.4803432822227478	0.4666442573070526	0.5257970690727234	0.4796429872512817	0.4985221326351166	0.5199211239814758	0.5555346608161926	0.5730035901069641	0.4467408955097198	0.4552869498729706	0.4205209612846375	0.4390094876289368	0.4710155427455902	0.4364418387413025	0.4792510569095612	0.5082458853721619	0.5221719741821289	0.5109574198722839	0.5071236491203308	0.4731429219245911	0.4880439639091492	0.4162699282169342	0.4783863425254822	0.4433146715164185	0.5110790729522705	0.4644190669059753	0.4723606407642365	0.4243248403072357	0.4634553790092468	0.5520089268684387	0.5462260842323303	0.5103300809860229	0.4583727717399597	0.4966621398925781	0.5153818130493164	0.4991802573204041	0.4324586689472198	0.4978379905223846	0.4473695755004883	0.5143818259239197	0.4428921341896057	0.5219226479530334	0.4638019502162933	0.5017774701118469	0.3971936106681824	0.4568630754947662	0.4284095764160156
12A	0.4762612581253052	0.4484416544437408	0.4086147248744965	0.3937784433364868	0.4252930581569672	0	0.4339897930622101	0.4638502299785614	0.4416855275630951	0.4575398564338684	0.450321227312088	0.5022270083427429	0.4694871604442596	0.5015712976455688	0.4796949923038483	0.4711784422397614	0.4795581996440887	0.4867315888404846	0.4794346690177917	0.5014330148696899	0.4814351499080658	0.4946807622909546	0.4754512310028076	0.4950977563858032	0.4734968543052673	0.4837085008621216	0.4844487905502319	0.5105394721031189	0.5052505731582642	0.4851977229118347	0.5054745674133301	0.4929397106170654	0.5098382234573364	0.4684129357337952	0.4759601056575775	0.4376187324523926	0.456467479467392	0.4845843613147736	0.4593186378479004	0.4630401730537415	0.4815676510334015	0.4547756612300873	0.4814755618572235	0.5046954751014709	0.4758828282356262	0.53920578956604	0.4292390048503876	0.5009245872497559	0.4725362956523895	0.527604877948761	0.4896680116653442	0.4336914420127869	0.4427603185176849	0.4719721674919128	0.5051202178001404	0.5076870322227478	0.5148116946220398	0.4769060611724854	0.433494359254837	0.5120193958282471	0.4374657273292542	0.442376434803009	0.4784097075462341	0.4544763565063477	0.4844124913215637	0.4506182968616486	0.4692461788654327	0.4809681177139282	0.4760358035564423	0.4504896402359009	0.4913617074489594	0.4121834337711334
12B	0.5199998021125793	0.4229121804237366	0.3972831964492798	0.3816011548042297	0.4363810420036316	0.4339897930622101	0	0.4857786297798157	0.4286854267120361	0.4441128969192505	0.4653274416923523	0.4675364196300507	0.4427047669887543	0.4763766229152679	0.4797799587249756	0.4788146913051605	0.4374871253967285	0.4592410326004028	0.4763689637184143	0.4578912854194641	0.4763534963130951	0.5285355448722839	0.499473363161087	0.5527639389038086	0.4564436972141266	0.4384884536266327	0.4273467361927032	0.4716561436653137	0.4535925686359406	0.434226006269455	0.4961148500442505	0.5156117081642151	0.5519677400588989	0.4698304831981659	0.4639569818973541	0.4370701313018799	0.4483275711536407	0.4696164131164551	0.4200597703456879	0.4049421846866608	0.4699545800685883	0.488795667886734	0.4638182520866394	0.4692603349685669	0.4380317330360413	0.4733299314975739	0.4342997372150421	0.4843372106552124	0.446597546339035	0.4990787506103516	0.463297963142395	0.4726156294345856	0.4652199447154999	0.4624507427215576	0.4892184734344482	0.4917946755886078	0.4775054752826691	0.4460906386375427	0.4309696853160858	0.4986409544944763	0.4524151980876923	0.4470513761043549	0.4610714316368103	0.4628439545631409	0.4586594700813293	0.421503871679306	0.4748041033744812	0.4504870772361755	0.4399374425411224	0.4607658684253693	0.4277642965316772	0.4326295256614685
14A	0.513568103313446	0.4045164883136749	0.4614206552505493	0.3842485845088959	0.4110703468322754	0.4638502299785614	0.4857786297798157	0	0.3996573686599731	0.3913278579711914	0.41567662358284	0.4092555642127991	0.4330762624740601	0.4504702091217041	0.4194180965423584	0.4388996064662933	0.4473003447055817	0.4174894690513611	0.4812607169151306	0.4123234152793884	0.5025110840797424	0.5625952482223511	0.5366276502609253	0.5800224542617798	0.4406586289405823	0.4845507740974426	0.4486460387706757	0.5289492011070251	0.4573909938335419	0.4462108016014099	0.5463604331016541	0.552606463432312	0.5968397259712219	0.353328675031662	0.4565808475017548	0.4014526009559631	0.3944236934185028	0.4796465337276459	0.4020432829856873	0.45233154296875	0.5032170414924622	0.5294536352157593	0.4902472794055939	0.4941467344760895	0.4720431268215179	0.5029855370521545	0.4202608466148376	0.4499013423919678	0.4318075776100159	0.4949312210083008	0.4537920653820038	0.4251781702041626	0.4581419825553894	0.4562288522720337	0.5431914329528809	0.5300867557525635	0.4462216198444366	0.3852476477622986	0.4794476628303528	0.5068835616111755	0.4821140468120575	0.4643078744411469	0.4447553157806396	0.4026617407798767	0.4796354174613953	0.4268400967121124	0.5396475195884705	0.4914603531360626	0.4736978113651276	0.4521000981330872	0.433923065662384	0.4139847159385681
14B	0.5243294239044189	0.4150436818599701	0.4276605844497681	0.3656477034091949	0.4221892356872559	0.4416855275630951	0.4286854267120361	0.3996573686599731	0	0.3915523886680603	0.3947713375091553	0.4002120196819305	0.4537991881370544	0.5071934461593628	0.4231044352054596	0.4308861196041107	0.4437291026115417	0.391537219285965	0.458773285150528	0.3973020613193512	0.4662128090858459	0.530799388885498	0.4895088374614716	0.5368356108665466	0.4826363921165466	0.4630789160728455	0.4418043196201324	0.5173635482788086	0.4677020013332367	0.4462199211120605	0.5223634243011475	0.5072451233863831	0.5532128810882568	0.4314421713352203	0.4239492118358612	0.3932994306087494	0.4511355757713318	0.4442569613456726	0.3850736021995544	0.4854786992073059	0.4732519090175629	0.5091561079025269	0.4611309468746185	0.4909092485904694	0.4606944918632507	0.5062317848205566	0.3897530138492584	0.4239346981048584	0.4138395488262177	0.4866579473018646	0.4340690970420837	0.3934382200241089	0.4132281541824341	0.4271928369998932	0.5153941512107849	0.5128772258758545	0.4951438903808594	0.4010002613067627	0.4092628061771393	0.4955463707447052	0.481827974319458	0.4822277128696442	0.4176557660102844	0.4314174652099609	0.4459899663925171	0.4085797369480133	0.4808216094970703	0.4191350936889648	0.4283347725868225	0.4065362513065338	0.4656682312488556	0.4352504312992096
15	0.4472652971744537	0.4248446524143219	0.4460133910179138	0.426827073097229	0.4310275018215179	0.4575398564338684	0.4441128969192505	0.3913278579711914	0.3915523886680603	0	0.412545770406723	0.4457614719867706	0.4128678441047668	0.4341572225093842	0.451964259147644	0.4824894666671753	0.4367988109588623	0.4661185741424561	0.4442330002784729	0.4410837888717651	0.4647515416145325	0.4931718409061432	0.5311717987060547	0.5491062998771667	0.4113175868988037	0.4721952974796295	0.446647584438324	0.5012237429618835	0.418493926525116	0.4788336455821991	0.5168539881706238	0.4982205629348755	0.537892758846283	0.4297437369823456	0.4721821844577789	0.4514739811420441	0.4418264031410217	0.4512718915939331	0.4381702542304993	0.4366232752799988	0.4811188280582428	0.5205771327018738	0.4433469772338867	0.5024091005325317	0.4564197361469269	0.5152902603149414	0.4005265533924103	0.4982599318027496	0.4343908429145813	0.4609633386135101	0.4718938171863556	0.4451725780963898	0.4921273291110992	0.4503949284553528	0.4856092631816864	0.487286388874054	0.4576492011547089	0.4447498023509979	0.4406985342502594	0.5025143623352051	0.4703704416751862	0.4550632834434509	0.4576633870601654	0.4798747897148132	0.5146975517272949	0.4682356715202332	0.5299630165100098	0.4743409156799316	0.4485284388065338	0.4661148190498352	0.4768218100070953	0.4454008042812347
15A	0.5072866082191467	0.4584842324256897	0.4383403956890106	0.4286430776119232	0.4654113948345184	0.450321227312088	0.4653274416923523	0.41567662358284	0.3947713375091553	0.412545770406723	0	0.3764404058456421	0.4621050953865051	0.4660222232341766	0.4036833643913269	0.4598726034164429	0.4386829137802124	0.4044940769672394	0.4531042277812958	0.4062164127826691	0.486593633890152	0.5362049341201782	0.4853311777114868	0.579653263092041	0.4546269476413727	0.497460275888443	0.4066901803016663	0.4921782314777374	0.4775519073009491	0.4056999683380127	0.5323580503463745	0.5201616287231445	0.5533146262168884	0.4243513941764832	0.4588240087032318	0.4231257438659668	0.4309867918491364	0.4424051642417908	0.426708847284317	0.4381048381328583	0.485325962305069	0.5187417268753052	0.477975994348526	0.5141926407814026	0.4419359564781189	0.5327180027961731	0.3617511093616486	0.4781174063682556	0.4501047730445862	0.4759675264358521	0.4577990770339966	0.4458706378936768	0.4465720057487488	0.4888713955879211	0.4980946183204651	0.493662565946579	0.4766401350498199	0.4326943755149841	0.4589606821537018	0.4764973223209381	0.4773017764091492	0.4900990128517151	0.4775550961494446	0.4260289371013641	0.4451356828212738	0.4241186082363129	0.50510174036026	0.4351923167705536	0.4295558631420135	0.4434097707271576	0.4576645195484161	0.4157736897468567
15B	0.5436165332794189	0.4189005196094513	0.4423556923866272	0.4148982465267181	0.4562376141548157	0.5022270083427429	0.4675364196300507	0.4092555642127991	0.4002120196819305	0.4457614719867706	0.3764404058456421	0	0.4875563383102417	0.4972761869430542	0.4254733026027679	0.4276375472545624	0.4437436163425446	0.3949486017227173	0.4500626921653748	0.4242026507854462	0.513399600982666	0.5523086786270142	0.4626008272171021	0.5798366069793701	0.473758339881897	0.4763579368591309	0.4334842562675476	0.4939347803592682	0.4789564907550812	0.4512682259082794	0.5079287886619568	0.5869924426078796	0.5362827777862549	0.4181032478809357	0.4322370886802673	0.4379168748855591	0.4303876459598541	0.4213236272335052	0.3926240503787994	0.4908556342124939	0.4741822481155396	0.502341091632843	0.474496990442276	0.5115761160850525	0.479177325963974	0.5123134255409241	0.4420610964298248	0.4452310502529144	0.4312964081764221	0.4997480511665344	0.4566068351268768	0.4663957953453064	0.4179382026195526	0.4439433217048645	0.5008013248443604	0.5220464468002319	0.502352774143219	0.4254213869571686	0.4808817803859711	0.4685103595256805	0.5128340721130371	0.4557525515556335	0.4398843348026276	0.4551422894001007	0.4319564998149872	0.4137428402900696	0.486724853515625	0.4463222026824951	0.4615934789180756	0.4565990567207336	0.4325665533542633	0.4735677540302277
16	0.5296467542648315	0.449015349149704	0.5178217887878418	0.4805069267749786	0.4784066677093506	0.4694871604442596	0.4427047669887543	0.4330762624740601	0.4537991881370544	0.4128678441047668	0.4621050953865051	0.4875563383102417	0	0.4823201894760132	0.4944691061973572	0.4958845973014832	0.4829928874969482	0.5083669424057007	0.4886099994182587	0.4888006448745728	0.488179475069046	0.5005776882171631	0.5625621676445007	0.5877956748008728	0.4538631439208984	0.463639110326767	0.453554630279541	0.5265111923217773	0.4516291618347168	0.525402307510376	0.5256438851356506	0.5181060433387756	0.5436949133872986	0.4380714297294617	0.4796293377876282	0.4674939811229706	0.4809545874595642	0.4514201581478119	0.4469207525253296	0.4852738976478577	0.4757237732410431	0.4897310435771942	0.4631385505199432	0.4970505833625793	0.4840131402015686	0.5215635299682617	0.4689784646034241	0.5088974833488464	0.4676920771598816	0.5178784132003784	0.4837442934513092	0.4708383679389954	0.4729063212871552	0.4154311716556549	0.5290055871009827	0.4929560720920563	0.5130320191383362	0.4826017916202545	0.4822883605957031	0.5389337539672852	0.4939731955528259	0.4948050379753113	0.4642585515975952	0.4847502410411835	0.4970344603061676	0.4860942661762238	0.5200176239013672	0.4722500145435333	0.4904281497001648	0.4652391970157623	0.4795287549495697	0.465848296880722
17	0.4958503246307373	0.4563930630683899	0.4815395474433899	0.4786127805709839	0.5075533390045166	0.5015712976455688	0.4763766229152679	0.4504702091217041	0.5071934461593628	0.4341572225093842	0.4660222232341766	0.4972761869430542	0.4823201894760132	0	0.4924466907978058	0.5459768772125244	0.4113584756851196	0.5060493946075439	0.478382021188736	0.4695403873920441	0.4851210415363312	0.5148901343345642	0.5606206059455872	0.6011732816696167	0.4519049227237701	0.4658205211162567	0.4365875720977783	0.4693047404289246	0.4189473390579224	0.4851327836513519	0.556577205657959	0.5100770592689514	0.5552002787590027	0.4597316384315491	0.5480952858924866	0.5222234129905701	0.4619451463222504	0.5407679080963135	0.4942348897457123	0.460911363363266	0.482596218585968	0.5610338449478149	0.4889152646064758	0.5201828479766846	0.4920610189437866	0.5018063187599182	0.4692256450653076	0.5679035782814026	0.5278496146202087	0.488707572221756	0.5032544136047363	0.5079054832458496	0.5391767621040344	0.5164838433265686	0.5213778018951416	0.5313136577606201	0.4858075976371765	0.506458044052124	0.5124004483222961	0.4988403618335724	0.5029071569442749	0.5233765840530396	0.5054280161857605	0.4913853704929352	0.5667364001274109	0.5222684144973755	0.576488196849823	0.5324939489364624	0.4973061680793762	0.5457120537757874	0.511593759059906	0.5006718039512634
17A	0.5073780417442322	0.4148320555686951	0.4515295326709747	0.4162010550498962	0.4732337594032288	0.4796949923038483	0.4797799587249756	0.4194180965423584	0.4231044352054596	0.451964259147644	0.4036833643913269	0.4254733026027679	0.4944691061973572	0.4924466907978058	0	0.4339567720890045	0.4392928779125214	0.3573851585388184	0.4301639497280121	0.4047646522521973	0.4946342706680298	0.5375154614448547	0.4869951605796814	0.5326045155525208	0.4314702451229095	0.445455014705658	0.3834889233112335	0.4698071479797363	0.4335787296295166	0.4275541305541992	0.5074514746665955	0.5598518252372742	0.5559264421463013	0.4505733847618103	0.4826454222202301	0.4513007700443268	0.4304101467132568	0.4988910257816315	0.4052384793758392	0.4397098422050476	0.4385980665683746	0.4992557764053345	0.509498655796051	0.4968171715736389	0.4267654716968536	0.5190722346305847	0.4118689596652985	0.4987336397171021	0.4725931286811829	0.4890314638614655	0.4161498546600342	0.4578261077404022	0.4308847486972809	0.4943800270557404	0.4981312453746796	0.5315451622009277	0.4762493669986725	0.4214257001876831	0.4608714580535889	0.4642456769943237	0.4736725687980652	0.4816327393054962	0.4725084602832794	0.4187104403972626	0.4443022012710571	0.4156751036643982	0.5069069862365723	0.4356264472007751	0.4414676427841187	0.4792680740356445	0.4819508194923401	0.4765910506248474
17B	0.5444577932357788	0.4236917197704315	0.4541144967079163	0.4261505901813507	0.4339476227760315	0.4711784422397614	0.4788146913051605	0.4388996064662933	0.4308861196041107	0.4824894666671753	0.4598726034164429	0.4276375472545624	0.4958845973014832	0.5459768772125244	0.4339567720890045	0	0.4689459204673767	0.3991686701774597	0.4877060949802399	0.4544540047645569	0.539876401424408	0.5416073203086853	0.457990974187851	0.5175904631614685	0.5285261869430542	0.4570745825767517	0.4868219196796417	0.5493394136428833	0.4864298105239868	0.4780263602733612	0.4989068806171417	0.55287766456604	0.5391728281974792	0.4642968475818634	0.4261418879032135	0.4354489743709564	0.4386807382106781	0.4230819046497345	0.3911790549755096	0.5078015923500061	0.493787556886673	0.4813501238822937	0.4790064096450806	0.5097422003746033	0.4998596906661987	0.4922501742839813	0.4457837045192719	0.4385938048362732	0.4180549383163452	0.5185880661010742	0.442313939332962	0.4240229427814484	0.4494399726390839	0.4407832324504852	0.5280026793479919	0.5493886470794678	0.5031870007514954	0.4184323847293854	0.4698158800601959	0.4385964572429657	0.5103383660316467	0.4482838213443756	0.4537047743797302	0.408796101808548	0.4236451387405396	0.4233923852443695	0.4445293545722961	0.4293774664402008	0.4783851206302643	0.3865375816822052	0.4274887144565582	0.4806688725948334
18	0.523006796836853	0.3935590982437134	0.4355033040046692	0.4333980679512024	0.4710963368415833	0.4795581996440887	0.4374871253967285	0.4473003447055817	0.4437291026115417	0.4367988109588623	0.4386829137802124	0.4437436163425446	0.4829928874969482	0.4113584756851196	0.4392928779125214	0.4689459204673767	0	0.4472822844982147	0.4802704751491547	0.4544959366321564	0.4644849002361298	0.5421435236930847	0.5188153386116028	0.5598632097244263	0.48456010222435	0.414598822593689	0.4093075394630432	0.4723909795284271	0.4488458335399628	0.459837794303894	0.5338147878646851	0.4908519387245178	0.542793869972229	0.4503998160362244	0.5060514211654663	0.4515376687049866	0.4216354191303253	0.4692190587520599	0.4167511165142059	0.4666470587253571	0.4752931594848633	0.5140518546104431	0.4567686319351196	0.5003714561462402	0.4753037393093109	0.4739757180213928	0.4255964756011963	0.5219062566757202	0.4646535515785217	0.4687764346599579	0.446664959192276	0.4546246230602264	0.4752988517284393	0.477338045835495	0.482999712228775	0.5465149283409119	0.4483913481235504	0.432844877243042	0.4500273466110229	0.4607892632484436	0.4982182383537292	0.4665339887142181	0.4714173078536987	0.4511612355709076	0.4769911468029022	0.4549456536769867	0.5003761649131775	0.461761862039566	0.4371439814567566	0.4518311023712158	0.4836759567260742	0.4798168241977692
